StrideLeft,ContactTimeLeft,LeftOrder1,LeftOrder2,LeftOrder3,LeftOrder4,LeftOrder5,LPeak1,LPeak2,LPeak3,LPeak4,LPeak5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,StrideRight,ContactTimeRight,RightOrder1,RightOrder2,RightOrder3,RightOrder4,RightOrder5,RPeak1,RPeak2,RPeak3,RPeak4,RPeak5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
,,,,,,,,,,,,,,,,,16,0,0,1,0,0,0,2000,993,2000,2000,2000,0,1,0,1
,,,,,,,,,,,,,,,,,17,0,0,3,4,1,2,2000,829,979,708,653,0,2,0,1
,,,,,,,,,,,,,,,,,18,0,5,3,4,1,2,997,860,987,632,565,0,1,0,1
,,,,,,,,,,,,,,,,,18,0,5,3,4,2,1,992,827,988,630,593,0,1,0,1
,,,,,,,,,,,,,,,,,19,0,5,3,4,2,1,983,816,973,648,563,0,1,0,1
,,,,,,,,,,,,,,,,,20,0,5,3,4,2,1,986,833,977,641,565,0,1,0,1
,,,,,,,,,,,,,,,,,20,0,5,3,4,2,1,973,818,976,638,548,0,1,0,0
,,,,,,,,,,,,,,,,,21,0,5,3,4,2,1,978,880,958,632,687,0,0,0,0
,,,,,,,,,,,,,,,,,21,0,5,3,4,1,2,987,888,953,578,655,0,0,0,0
,,,,,,,,,,,,,,,,,22,0,5,3,4,1,2,993,898,953,608,569,0,1,0,0
,,,,,,,,,,,,,,,,,22,0,5,1,4,2,3,977,882,970,792,666,0,0,1,1
,,,,,,,,,,,,,,,,,22,0,5,3,4,1,2,1000,866,947,617,631,0,0,0,0
,,,,,,,,,,,,,,,,,23,0,5,1,4,2,3,982,818,933,711,748,0,0,0,0
,,,,,,,,,,,,,,,,,23,0,5,1,4,2,3,988,854,943,571,635,0,0,0,0
,,,,,,,,,,,,,,,,,23,0,5,4,3,1,2,973,836,925,610,599,0,0,0,0
,,,,,,,,,,,,,,,,,24,0,4,5,3,1,2,956,841,925,873,578,0,0,0,0
,,,,,,,,,,,,,,,,,25,0,3,1,4,5,2,955,846,925,848,644,0,0,0,0
,,,,,,,,,,,,,,,,,25,0,5,1,4,2,3,956,854,924,864,544,0,0,0,0
,,,,,,,,,,,,,,,,,25,0,5,2,4,3,1,971,813,929,557,521,0,0,0,0
,,,,,,,,,,,,,,,,,26,0,5,1,2,4,3,961,806,928,533,553,0,0,0,0
,,,,,,,,,,,,,,,,,26,0,4,2,5,3,1,965,845,923,618,520,0,0,0,0
,,,,,,,,,,,,,,,,,26,0,4,1,3,5,2,965,863,926,802,633,0,0,0,0
,,,,,,,,,,,,,,,,,27,0,0,1,4,3,2,2000,803,925,635,564,0,0,0,0
,,,,,,,,,,,,,,,,,27,0,0,1,4,3,2,2000,885,925,689,553,0,0,0,0
,,,,,,,,,,,,,,,,,27,0,0,3,1,4,2,2000,812,923,547,627,0,0,0,0
,,,,,,,,,,,,,,,,,28,0,0,3,4,1,2,2000,796,926,750,584,0,0,0,0
,,,,,,,,,,,,,,,,,28,0,5,2,3,4,1,983,861,927,807,580,0,0,0,0
,,,,,,,,,,,,,,,,,28,0,5,1,2,4,3,958,825,924,525,610,0,0,0,0
,,,,,,,,,,,,,,,,,29,0,5,3,4,2,1,962,841,926,762,551,0,0,0,0
,,,,,,,,,,,,,,,,,30,0,4,1,5,3,2,959,853,922,603,573,0,0,0,0
,,,,,,,,,,,,,,,,,30,0,5,3,4,1,2,966,875,924,756,595,0,0,0,0
,,,,,,,,,,,,,,,,,30,0,5,1,4,2,3,961,794,923,534,581,0,0,0,0
,,,,,,,,,,,,,,,,,31,0,4,3,1,5,2,965,871,930,836,591,0,0,0,0
,,,,,,,,,,,,,,,,,31,0,5,1,4,2,3,961,859,923,858,545,0,0,0,0
,,,,,,,,,,,,,,,,,31,0,4,3,5,1,2,962,785,927,653,587,0,0,0,0
,,,,,,,,,,,,,,,,,32,0,5,3,4,1,2,960,789,923,653,563,0,0,0,0
,,,,,,,,,,,,,,,,,32,0,4,1,5,2,3,959,812,922,745,539,0,0,0,0
,,,,,,,,,,,,,,,,,32,0,5,1,4,2,3,962,801,925,549,540,0,0,0,0
,,,,,,,,,,,,,,,,,33,0,5,1,4,2,3,955,795,925,669,555,0,0,0,0
,,,,,,,,,,,,,,,,,33,0,4,1,5,2,3,964,808,925,826,567,0,0,0,0
,,,,,,,,,,,,,,,,,34,0,5,1,4,2,3,962,828,924,800,507,0,0,0,0
,,,,,,,,,,,,,,,,,34,0,5,1,4,2,3,972,867,927,669,520,0,0,0,0
,,,,,,,,,,,,,,,,,35,0,3,4,1,5,2,960,837,925,835,555,0,0,0,0
,,,,,,,,,,,,,,,,,35,0,5,4,3,2,1,970,835,921,520,516,0,0,0,0
,,,,,,,,,,,,,,,,,35,0,4,5,3,1,2,963,801,920,615,524,0,0,0,0
,,,,,,,,,,,,,,,,,36,0,5,1,4,2,3,970,850,923,524,518,0,0,0,0
,,,,,,,,,,,,,,,,,36,0,5,1,3,4,2,960,808,922,531,582,0,0,0,0
,,,,,,,,,,,,,,,,,36,0,4,5,3,1,2,960,849,923,778,599,0,0,0,0
,,,,,,,,,,,,,,,,,37,0,5,1,4,2,3,960,885,924,622,523,0,0,0,0
,,,,,,,,,,,,,,,,,37,0,4,5,3,1,2,959,984,925,628,574,0,0,0,0
,,,,,,,,,,,,,,,,,38,0,5,3,4,1,2,963,807,926,515,540,0,0,0,0
,,,,,,,,,,,,,,,,,38,0,4,1,5,2,3,965,914,922,627,536,0,0,0,0
,,,,,,,,,,,,,,,,,38,0,5,1,4,2,3,963,859,924,544,599,0,0,0,0
,,,,,,,,,,,,,,,,,39,0,5,1,4,2,3,967,917,923,800,574,0,0,0,0
,,,,,,,,,,,,,,,,,39,0,5,1,4,2,3,960,844,922,788,559,0,0,0,0
,,,,,,,,,,,,,,,,,40,0,5,1,4,2,3,964,826,925,650,531,0,0,0,0
,,,,,,,,,,,,,,,,,40,0,5,3,4,1,2,960,852,921,656,590,0,0,0,0
,,,,,,,,,,,,,,,,,41,0,5,1,4,2,3,971,816,923,518,544,0,0,0,0
,,,,,,,,,,,,,,,,,41,0,5,2,4,3,1,970,887,929,792,564,0,0,0,0
,,,,,,,,,,,,,,,,,41,0,5,1,4,2,3,960,798,923,808,651,0,0,0,0
,,,,,,,,,,,,,,,,,42,0,5,1,4,2,3,963,828,921,651,532,0,0,0,0
,,,,,,,,,,,,,,,,,42,0,5,2,4,3,1,962,820,922,523,583,0,0,0,0
,,,,,,,,,,,,,,,,,42,0,4,2,3,5,1,961,829,920,827,582,0,0,0,0
,,,,,,,,,,,,,,,,,43,0,5,3,4,1,2,963,881,919,526,545,0,0,0,0
,,,,,,,,,,,,,,,,,43,0,5,3,4,1,2,959,793,925,520,613,0,0,0,0
,,,,,,,,,,,,,,,,,43,0,3,4,5,1,2,972,853,925,632,524,0,0,0,0
,,,,,,,,,,,,,,,,,44,0,5,1,4,2,3,959,813,920,521,620,0,0,0,0
,,,,,,,,,,,,,,,,,45,0,5,1,4,2,3,974,830,921,645,514,0,0,0,0
,,,,,,,,,,,,,,,,,45,0,5,1,4,2,3,968,873,923,530,599,0,0,0,0
,,,,,,,,,,,,,,,,,45,0,3,5,1,4,2,962,916,917,528,556,0,0,0,0
,,,,,,,,,,,,,,,,,46,0,5,1,2,4,3,962,852,921,520,610,0,0,0,0
,,,,,,,,,,,,,,,,,46,0,5,1,4,2,3,971,853,921,759,524,0,0,0,0
,,,,,,,,,,,,,,,,,46,0,4,5,3,1,2,965,881,930,821,570,0,0,0,0
,,,,,,,,,,,,,,,,,47,0,5,4,3,2,1,992,888,938,589,521,0,0,0,0
,,,,,,,,,,,,,,,,,47,0,4,2,3,5,1,981,847,944,759,629,0,0,0,0
,,,,,,,,,,,,,,,,,47,0,0,2,0,1,0,2000,995,2000,852,2000,0,0,0,0
