TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
31.996261557,8.879810166666665,0.176734707,0,0,0,0,1,2000,0.300210584,2000,0.016085565,2000,0.402886596,2000,0.373918966,887,0.162036429,-1.074564453,0.224464969,0.232419184,-9.552025401,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,32.048263492,8.879810166666665,0.122177163,0,1,2,3,0,2000,0.026227142,1001,0.013809828,1000,2.63183E-4,1007,1.66945E-4,2000,2.97058E-4,0.013918033,4.50385E-4,-1.324922192,-4.078839048
32.721817532,2671.892116416667,0.659111159,3,4,2,1,0,954,0.234113857,927,0.017779979,978,0.450282262,968,0.375265056,2000,0.162036429,0.042024866,0.317018407,0.099386927,-10.871314948,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,33.365034674,36.405104666666666,0.625787442,4,5,1,2,3,997,4.88904E-4,986,3.82226E-4,911,0.019080777,951,0.540468759,904,2.84296E-4,0.036083398,5.32587E-4,0.555125666,6.28673E-4
33.431608356,36.405104666666666,0.255500184,0,0,0,0,1,2000,0.234113857,2000,0.017779979,2000,0.450282262,2000,0.375265056,879,0.237676006,-1.071374957,0.317018407,0.099386927,-10.871314948,,,,,,,,,,,,,,,,,,,,,,,,
34.08426304,2790.0630095,0.603506287,3,4,2,1,0,994,0.14916413,981,3.47899E-4,994,0.231682365,986,0.452955482,2000,0.237676006,0.186663815,0.166930805,0.165519225,-12.35004931,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,35.059039157,26.758979083333333,0.625731011,1,2,3,4,5,975,0.305215333,985,0.02394071,963,0.173604167,935,0.462190863,963,0.241731245,0.013208025,2.97737E-4,1.66132E-4,1.65346E-4
,,,,,,,,,,,,,,,,,,,,,,,35.232739683,36.69189458333334,0.038020742,0,0,0,0,1,2000,0.305215333,2000,0.02394071,2000,0.173604167,2000,0.462190863,1016,0.013115618,-0.748202459,2.97737E-4,1.66132E-4,1.65346E-4
,,,,,,,,,,,,,,,,,,,,,,,35.284562559,42.44993116666667,0.020746087,0,0,0,1,0,2000,0.305215333,2000,0.02394071,2000,0.173604167,1009,0.014343453,2000,0.013115618,-0.817298898,2.97737E-4,1.66132E-4,1.65346E-4
35.884375844,42.44993116666667,1.12996084,1,0,2,3,4,934,0.08710003,2000,3.47899E-4,954,0.117849146,958,0.06727231,905,0.253633882,0.021034566,0.050794839,0.133345663,-13.309768732,,,,,,,,,,,,,,,,,,,,,,,,
36.39431254,5.916679833333333,0.342577287,0,0,0,0,1,2000,0.08710003,2000,3.47899E-4,2000,0.117849146,2000,0.06727231,867,0.19410493,-1.276285684,0.050794839,0.133345663,-13.309768732,,,,,,,,,,,,,,,,,,,,,,,,
37.166142374,29.713419416666667,0.686846237,3,4,2,1,0,972,0.383018238,917,0.234069498,976,0.432394142,961,0.252670546,2000,0.19410493,0.053707757,0.066056303,0.048996284,-14.998235449,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,38.520218657,177.24839100000003,2.397481371,0,0,1,2,3,2000,0.305215333,2000,0.02394071,1008,0.015076215,1007,1.25246E-4,986,1.47015E-4,0.015209919,2.00029E-4,-1.691166211,1.65346E-4
39.276137881,24.123143000000002,1.02642191,0,1,2,3,4,2000,0.383018238,988,0.070464834,998,0.072148681,982,0.100459953,993,0.049016214,0.014109835,0.072256638,0.840793697,-17.527054934,,,,,,,,,,,,,,,,,,,,,,,,
41.396028137,160.03459024999998,0.936419434,4,5,3,2,1,977,0.26700004,924,0.18189625,976,0.185768792,976,0.167345036,871,0.20192464,0.318804282,0.049276775,0.133842795,0.085280919,,,,,,,,,,,,,,,,,,,,,,,,
42.900413244,283.805273,0.955554563,4,5,2,3,1,952,0.399338241,959,0.017669444,960,0.251002649,985,0.150953304,876,0.220414575,0.321548861,4.203E-4,0.116109318,0.166426684,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,43.603256842,407.8148673333334,5.064061081,3,4,5,2,1,995,3.03564E-4,1004,3.24735E-4,890,0.798263203,993,2.738487559,885,4.379687114,0.787772581,2.757756305,5.72796E-4,4.71563E-4
44.203404391,407.8148673333334,0.77043187,4,5,3,2,1,970,0.350486836,952,2.28988E-4,971,0.251658061,979,0.134872778,878,0.153433413,0.16916931,0.066114234,0.116355704,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
45.579790825,65.64507766666665,0.892448538,0,0,3,2,1,2000,0.350486836,2000,2.28988E-4,1008,0.315380309,1001,0.366415638,890,0.236884663,0.254060184,0.166796039,-1.32358724,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
45.635171236,9.945137333333331,0.04074406,0,0,0,0,1,2000,0.350486836,2000,2.28988E-4,2000,0.315380309,2000,0.366415638,1014,0.01526293,-0.653022396,0.166796039,-1.32358724,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
45.687007009,16.00611058333333,0.019846104,0,0,0,0,1,2000,0.350486836,2000,2.28988E-4,2000,0.315380309,2000,0.366415638,1016,0.012471003,-0.725754075,0.166796039,-1.32358724,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
45.725551705,19.21034583333333,0.019942735,0,0,0,0,1,2000,0.350486836,2000,2.28988E-4,2000,0.315380309,2000,0.366415638,1016,0.013521758,-0.764204898,0.166796039,-1.32358724,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
45.828557725,25.067038,0.052669874,0,0,0,0,1,2000,0.350486836,2000,2.28988E-4,2000,0.315380309,2000,0.366415638,1014,0.035917767,-0.834485204,0.166796039,-1.32358724,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
46.152840156,50.353952166666666,0.0735091,0,0,0,0,1,2000,0.350486836,2000,2.28988E-4,2000,0.315380309,2000,0.366415638,930,0.056114964,-1.137928174,0.166796039,-1.32358724,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
46.870567949,63.281716416666676,0.636103912,0,0,2,1,3,2000,0.350486836,2000,2.28988E-4,1001,0.266080607,987,0.321173586,997,2.13658E-4,0.01968944,0.518953631,-2.988495617,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
48.277313751,230.38574966666667,0.037601037,0,0,1,0,0,2000,0.350486836,2000,2.28988E-4,1010,0.0189821,2000,0.321173586,2000,2.13658E-4,-1.985558959,0.518953631,-2.988495617,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
49.468514445,259.88964408333334,0.874755202,0,0,1,2,0,2000,0.350486836,2000,2.28988E-4,999,0.155871579,974,0.616050459,2000,2.13658E-4,0.090066043,-1.910718104,-2.988495617,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
50.219684505,388.1732048333334,0.086522676,0,0,0,0,1,2000,0.350486836,2000,2.28988E-4,2000,0.155871579,2000,0.616050459,947,0.068829263,-1.449336686,-1.910718104,-2.988495617,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,50.403342494,399.4347723333334,4.928258182,0,0,0,2,1,2000,3.03564E-4,2000,3.24735E-4,2000,0.798263203,972,4.840782402,882,0.160708172,0.071141636,-3.461502355,5.72796E-4,4.71563E-4
51.328141541,41.86572583333333,1.059833349,0,0,2,1,3,2000,0.350486836,2000,2.28988E-4,990,0.838698004,993,0.824449662,1007,0.01814904,0.06912525,0.955763694,-7.508578161,0.201931732,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,51.677090204,41.86572583333333,0.906400562,1,0,0,2,3,1023,0.015509036,2000,3.24735E-4,2000,0.798263203,895,0.873736819,878,0.642036016,0.015704149,2.73161E-4,-8.701371211,4.71563E-4
,,,,,,,,,,,,,,,,,,,,,,,54.669254672,41.943674666666666,2.97581404,0,0,0,1,2,2000,0.015509036,2000,3.24735E-4,2000,0.798263203,889,2.957247306,892,2.944445021,0.012971276,-0.919742552,-8.701371211,4.71563E-4
55.052221969,207.33449741666666,2.855459766,4,0,3,2,1,1005,1.03476946,2000,2.28988E-4,983,0.783733902,980,2.470030902,953,0.05403597,0.086449699,0.049933204,1.066292546,-9.412894326,,,,,,,,,,,,,,,,,,,,,,,,
55.276729395,46.11898125,0.038524437,0,0,0,0,1,2000,1.03476946,2000,2.28988E-4,2000,0.783733902,2000,2.470030902,1015,0.020753063,-2.954992045,0.049933204,1.066292546,-9.412894326,,,,,,,,,,,,,,,,,,,,,,,,
55.480840342,63.252711833333336,0.037031613,0,0,0,0,1,2000,1.03476946,2000,2.28988E-4,2000,0.783733902,2000,2.470030902,1015,0.020509312,-3.160596812,0.049933204,1.066292546,-9.412894326,,,,,,,,,,,,,,,,,,,,,,,,
55.617918211,76.11609141666666,0.019748077,0,0,0,0,1,2000,1.03476946,2000,2.28988E-4,2000,0.783733902,2000,2.470030902,1016,0.01394663,-3.314957367,0.049933204,1.066292546,-9.412894326,,,,,,,,,,,,,,,,,,,,,,,,
55.871103227,91.70433433333334,0.085875072,0,0,0,0,1,2000,1.03476946,2000,2.28988E-4,2000,0.783733902,2000,2.470030902,987,0.068938864,-3.502016282,0.049933204,1.066292546,-9.412894326,,,,,,,,,,,,,,,,,,,,,,,,
56.375546899,107.0735305,0.405888374,0,0,0,0,1,2000,1.03476946,2000,2.28988E-4,2000,0.783733902,2000,2.470030902,902,0.104522553,-3.686446636,0.049933204,1.066292546,-9.412894326,,,,,,,,,,,,,,,,,,,,,,,,
56.428482763,143.71494591666666,0.019126728,0,0,0,0,1,2000,1.03476946,2000,2.28988E-4,2000,0.783733902,2000,2.470030902,1016,0.013185574,-4.126143621,0.049933204,1.066292546,-9.412894326,,,,,,,,,,,,,,,,,,,,,,,,
56.502452427,148.19956041666666,0.039280403,0,0,0,0,1,2000,1.03476946,2000,2.28988E-4,2000,0.783733902,2000,2.470030902,1015,0.020813344,-4.179958995,0.049933204,1.066292546,-9.412894326,,,,,,,,,,,,,,,,,,,,,,,,
56.904465792,173.66051316666665,0.13576354,0,0,0,0,1
