TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
,,,,,,,,,,,,,,,,,,,,,,,30.90164647,127.59189274999999,0.137939736,0,0,0,0,1,2000,0.021668396,2000,0.016888846,2000,1.02195037,2000,0.015221888,1013,0.035615417,-5.72362194,0.006646316,1.037729401,-14.685767197
32.620649071,140.33112591666668,3.388046505,4,5,3,2,1,997,0.366553219,964,0.032512126,997,2.345299248,976,2.665395606,913,1.032732634,0.106273481,0.387508964,2.159626141,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,34.849120445,175.39782633333334,3.932543654,0,0,0,0,1,2000,0.021668396,2000,0.016888846,2000,1.02195037,2000,0.015221888,1014,0.319846781,-5.876492738,0.006646316,1.037729401,-14.685767197
35.186580233,168.92672208333332,2.165229253,0,0,3,2,1,2000,0.366553219,2000,0.032512126,1009,1.449873598,1000,1.587970428,920,1.644063308,0.339516098,0.15448584,-1.629340779,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
35.341980033,22.631597666666664,0.021929399,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,1.449873598,2000,1.587970428,1017,0.014841951,-1.959183739,0.15448584,-1.629340779,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
35.429418529,28.663289333333335,0.036985722,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,1.449873598,2000,1.587970428,1015,0.013953161,-2.031564039,0.15448584,-1.629340779,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
35.65015165,48.44688500000001,0.020317437,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,1.449873598,2000,1.587970428,1017,0.014283181,-2.268967187,0.15448584,-1.629340779,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
35.803165027,61.340418583333324,0.018608778,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,1.449873598,2000,1.587970428,1016,0.012717704,-2.42368959,0.15448584,-1.629340779,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
36.02524918,75.47394558333335,0.071090409,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,1.449873598,2000,1.587970428,979,0.038850333,-2.593291914,0.15448584,-1.629340779,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,36.128940262,84.24356125,1.080461251,0,0,0,0,1,2000,0.021668396,2000,0.016888846,2000,1.02195037,2000,0.015221888,894,0.889498079,-10.008387319,0.006646316,1.037729401,-14.685767197
,,,,,,,,,,,,,,,,,,,,,,,37.184993924,10.011075,1.005466872,0,0,0,0,1,2000,0.021668396,2000,0.016888846,2000,1.02195037,2000,0.015221888,1011,0.088351348,-11.139442954,0.006646316,1.037729401,-14.685767197
