Time,inByte1_0,inByte1_1,inByte1_2,inByte1_3,inByte1_4,inByte2_0,inByte2_1,inByte2_2,inByte2_3,inByte2_4
24,1023,1023,1023,1022,1023,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1023,1023,1023,1023,1021,0,0,0,0,0
24,1023,1023,1023,1023,1021,0,0,0,0,0
24,1023,1023,1023,1023,1022,0,0,0,0,0
24,1023,1023,1023,1023,1021,0,0,0,0,0
24,1023,1023,1023,1023,1022,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1023,1023,1020,1023,1023,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1020,1023,1023,1023,1023,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1023,1022,1023,1023,1023,0,0,0,0,0
24,1023,1023,1023,1020,1022,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1023,1022,1023,1023,1023,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1023,1023,1023,1023,1022,0,0,0,0,0
24,1023,1023,1022,1023,1023,0,0,0,0,0
24,1023,1023,1023,1021,1023,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1022,1023,1023,1023,1023,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1023,1023,1023,1023,1023,0,0,0,0,0
24,1023,1023,1023,1021,1022,0,0,0,0,0
24,1022,1023,1023,1023,1022,0,0,0,0,0
24,1022,1023,1023,1023,1022,0,0,0,0,0
24,1022,1023,1023,1023,1022,0,0,0,0,0
24,1022,1023,1023,1023,1022,0,0,0,0,0
24,1022,1023,1023,1023,1022,0,0,0,0,0
24,1022,1023,1023,1023,1022,0,0,0,0,0
24,1022,1023,1023,1023,1022,0,0,0,0,0
14,1022,1023,1023,1023,1022,1016,1016,1016,1016,1016
24,1023,1023,1023,1023,1022,1016,1016,1016,1016,1016
24,1023,1023,1023,1023,1023,1016,1016,1016,1016,1016
24,1023,1023,1023,1023,1023,1016,1016,1016,1016,1016
14,1023,1023,1023,1023,1023,1020,1021,1017,1021,1021
14,1023,1023,1023,1023,1023,1021,1017,1021,1021,1021
14,1023,1023,1023,1023,1023,1016,1016,1016,1016,1016
