StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
,,,,,,,,,,,,,,,,,,,,,,44.4713395,0.571660154,4,5,3,2,1,954,0.3163534,869,7480.785863,968,7480.787984,718,7480.686473,590,7481.054095,7480.888702,0.985095863,-7479.42028,6.77E-07
41.64603233,0.58499282,5,4,3,2,1,970,1.79E-06,997,1.08E-05,966,2.57E-07,972,7480.602483,975,1.62E-05,0.566449413,0.999386642,0.951795781,1.066454715,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,45.84221858,0.620976838,5,4,3,2,1,993,0.451751939,787,7480.883592,987,7480.802435,650,7480.7528,568,7481.037736,7481.202719,-7479.28688,1.098383769,1.083925499
41.79772808,0.586768802,5,4,3,2,1,984,2.46E-06,988,1.45E-06,978,2.62E-07,963,7480.602483,983,2.08E-05,0.568972317,1.052381325,1.036540058,1.099969893,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,47.20044258,0.586647594,5,3,4,2,1,963,0.447538732,814,7480.833498,977,7480.817657,678,7480.75031,590,7481.037625,7480.953656,-7479.582982,4.49E-07,1.019500428
40.2064595,0.570872169,5,4,3,2,1,988,2.12E-06,991,1.96E-06,971,3.49E-07,968,7480.602483,979,1.62E-05,0.531198909,1.030204071,1.030204014,1.046042672,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,50.08049858,0.604711194,4,5,3,2,1,956,0.518274227,843,7480.887277,975,7480.836521,709,7480.786597,623,7481.072314,7480.968505,-7479.321895,1.063701635,-0.015884764
36.0160605,0.551973003,5,4,3,2,1,961,1.53E-06,995,3.49E-07,960,2.66E-07,969,7480.602483,991,2.71E-05,0.531216131,1.083460174,1.017872938,1.083459719,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,47.39735533,0.620720729,4,5,3,2,1,971,0.434062588,816,7481.086863,986,7480.786794,704,7480.687064,579,7481.086363,7481.185319,-7479.364794,1.053060831,5.73E-07
42.9671895,0.617356978,4,5,3,2,1,985,1.39E-06,1006,5.14E-07,943,1.57E-07,989,7480.602483,984,1.93E-05,0.549762906,1.069093455,1.019505208,-0.051240763,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,42.99497933,0.568901738,5,4,3,2,1,967,0.365507063,839,7480.951512,971,7480.801947,730,7480.786303,566,7481.052824,7481.101153,-7479.602275,1.063689523,1.031461581
40.29527267,0.586205225,5,4,3,2,1,984,2.22E-06,999,1.41E-06,952,3.20E-07,974,7480.602483,978,2.02E-05,0.56684225,1.048624741,0.968203407,1.048625699,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,45.79690517,0.636521823,5,3,4,2,1,950,0.468022995,792,7480.816099,981,7480.772177,664,7480.753013,612,7481.051438,7480.967715,-7479.483409,-0.051492837,1.051356446
45.97986233,0.653892382,4,5,3,2,1,985,3.20E-06,1006,5.41E-07,944,3.29E-07,988,7480.602483,982,1.72E-05,0.6179245,1.101144064,1.101140129,-0.016952376,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,48.48450608,0.668183712,5,3,4,2,1,968,0.481831025,807,7480.884919,986,7480.835227,684,7480.802599,645,7481.084742,7481.202744,-7479.217515,-0.048618045,1.149423134
41.90993392,0.635663922,5,4,3,2,1,990,2.09E-06,1003,2.15E-06,949,2.82E-07,981,7480.602483,982,1.86E-05,0.60088925,1.132074242,1.099580427,1.115120879,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,49.80392708,0.716117111,5,4,3,2,1,957,0.467393576,817,7480.904212,982,7480.869017,706,7480.751897,586,7481.065857,7481.067189,-7479.537111,1.137335022,1.185952561
44.48015458,0.651604768,4,0,3,2,1,961,1.47E-06,2000,2.15E-06,944,2.54E-07,993,7480.602483,994,3.42E-06,0.616299814,1.115976145,1.116930025,1.115120879,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,75.06725767,0.904466583,4,3,5,2,1,954,0.717479113,960,7482.21808,955,7481.30281,862,7480.70487,575,7481.221071,7481.235012,-7479.203544,1.433200467,-0.03397861
50.04217942,0.683555524,1,3,2,4,0,974,1.97E-06,1004,2.95E-07,939,1.90E-07,973,7480.602484,2000,3.42E-06,0.667076751,1.467527291,2.27E-06,1.115120879,,,,,,,,,,,,,,,,,,,,,,
