TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4,
,,,,,,,,,,,,,,,,,,,,,,,25.77492881,111.0161367,0.250605697,0,2,4,3,1,2000,1.20E-07,905,0.131663522,907,0.099087458,919,0.081341057,922,0.03309433,0.050305705,2.93E-04,0.716229049,0.782262184,
26.12486928,116.6468703,0.250606491,3,5,4,2,1,975,0.083449353,930,1.39E-07,944,0.082865038,934,0.082683174,940,0.032490742,0.049439826,0.734004177,5.85E-04,0.750854089,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,26.47556826,116.775058,0.250979224,3,4,5,2,1,938,0.051637895,906,0.033336152,906,0.033045133,916,0.084580937,919,0.083142561,0.033476998,0.749709533,7.36E-04,2.92E-04,
26.80977175,132.824006,0.186711746,2,4,3,1,0,970,0.065385583,925,0.018122341,943,0.064991973,924,0.06794248,2000,0.032490742,0.018242515,5.44E-04,0.748695382,0.750854089,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,27.15714443,95.28040867,0.248242082,5,2,4,3,1,932,0.013676042,908,0.09730795,905,0.081770303,924,0.081116464,914,0.034284917,0.033603388,2.56E-04,0.633705295,0.751186164,
27.52615117,115.9450427,0.269414842,4,3,5,2,1,975,0.050752125,938,0.100703518,947,0.050216469,930,0.102031245,938,0.016564027,0.034615061,0.666130259,0.70078264,5.36E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,27.8419097,122.196048,0.218584552,0,1,4,2,3,2000,0.013676042,910,0.101265073,911,0.08286897,923,0.100111561,928,1.16E-07,0.001154392,1.57E-04,0.69896057,0.751186164,
28.17527276,100.2990903,0.25105054,3,5,4,2,1,972,0.119161462,946,1.12E-07,947,0.066101663,924,0.066367363,1007,0.048922319,0.068228134,0.715254861,5.46E-04,0.798367684,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,28.52442091,111.0452093,0.267062485,5,2,3,4,1,996,1.09E-07,907,0.102085474,907,0.101782521,921,0.084136452,913,0.050576792,0.066199726,3.03E-04,2.73E-04,0.833134161,
28.85662719,128.0145393,0.215226379,2,3,4,1,0,970,0.083762792,931,0.099344086,945,0.051035535,931,0.084997294,2000,0.048922319,0.032864319,6.91E-04,4.05E-04,0.798367684,,,,,,,,,,,,,,,,,,,,,,,,
